Question,Option_A,Option_B,Option_C,Option_D,Answer,Category,subcategory,Highlighted,Explanation_A,Explanation_B,Explanation_C,Explanation_D,High_Yield_Must_Know,One_Line,Accuracy_Review
A 26-year-old pregnant woman visits the clinic for regular follow-up. She is asymptomatic. She is in her 30th week of pregnancy. Her physical examination reveals a mid-systolic ejection murmur at the right upper sternal border. The murmur radiates to carotids. No diastolic murmur is heard. which of the following is the most likely diagnosis?,Aortic stenosis,Mitral stenosis,Tricuspid stenosis,Physiologic murmur of pregnancy,A,Internal medicine,Cardiology,Highlighted,Aortic stenosis usually presents with an ejection systolic murmur.,Mitral stenosis has a diastolic rumble.,Tricuspid stenosis has a diastolic murmur.,"Pregnancy causes a hyperdynamic circulation (increased blood volume and cardiac output), which frequently leads to a soft, asymptomatic physiologic flow murmur at the left sternal border. This is normal and benign.","A soft, early-to-mid systolic flow murmur is a normal physiological finding in pregnancy due to increased cardiac output and blood volume.",A soft systolic flow murmur is a normal physiological change during pregnancy.,Correct.
"A 28-year-old man is evaluated in the Emergency Department for severe persistent chest pain for I-day. The pain is constant but exacerbated when leaning forward and not associated with other symptoms. Physical examination is unremarkable apart of a friction rub at the left lower sternal border. Electrocardiogram shows diffuse, concave upward ST-segment elevations and PR-segment depression most prominent in leads V1 through V6. Which of the following is the most appropriate treatment",Prednisone,Nitroglycerin,Warfarin,Ibuprofen,D,Internal medicine,Cardiology,Not,Prednisone is not first-line for viral/idiopathic pericarditis.,"Nitroglycerin treats angina, not pericarditis.",Warfarin is an anticoagulant and contraindicated in pericarditis due to the risk of hemorrhagic tamponade.,Acute viral or idiopathic pericarditis is best treated with high-dose NSAIDs (like Ibuprofen or Aspirin) and Colchicine to reduce inflammation and prevent recurrence.,The first-line treatment for acute idiopathic or viral pericarditis is high-dose NSAIDs (Ibuprofen) combined with Colchicine.,Acute pericarditis is treated with NSAIDs like Ibuprofen.,Correct.
A 58-year-old woman was admitted with a diagnosis of acute myocardial infarction received appropriate treatments and now she is ready for discharge. She is go concern about the secondary prevention of infarction. which of the following statements is the most appropriate?,Anti-platelet agents should be used for short period to reduce the risk of recurrent infarction,Calcium channel blockers should be used indefinitely to reduce the risk of recurrent infarction,Hormonal replacement therapy should be given to postmenopausal women to prevent coronary events,Angiotensin-converting enzyme (ACE) inhibitors should be used indefinitely by patient with clinically evident heart failure,D,Internal medicine,Cardiology,Not,"Anti-platelet agents (Aspirin) should be used indefinitely, not for a short period.",CCBs do not reduce mortality post-MI.,HRT increases cardiovascular risk.,ACE inhibitors prevent adverse cardiac remodeling and have a proven mortality benefit; they should be used indefinitely in patients with clinically evident heart failure or a reduced ejection fraction post-MI.,ACE inhibitors reduce mortality and prevent cardiac remodeling in patients with heart failure or post-myocardial infarction with left ventricular dysfunction.,ACE inhibitors are indicated indefinitely for patients with heart failure to reduce mortality.,Correct.
A 55-year-old woman with non-decompensated systolic heart failure and ejection fraction of 25% presents to the clinic for routine follow-up. Which of the following medications is management?,Lisinopril,Amlodipine,Furosemide,Spironolactone,A,Internal medicine,Nephrology,Highlighted,"Lisinopril (an ACE inhibitor) is the first-line antihypertensive agent for patients with non-diabetic (and diabetic) chronic kidney disease with proteinuria, as it provides renoprotection by reducing intraglomerular pressure.",Amlodipine lowers BP but lacks specific renoprotective effects.,Furosemide is for volume overload.,Spironolactone is a potassium-sparing diuretic and must be used with extreme caution in CKD due to hyperkalemia.,"ACE inhibitors and ARBs slow the progression of chronic kidney disease by dilating the efferent arteriole, reducing glomerular hypertension and proteinuria.",ACE inhibitors are the first-line antihypertensive therapy for patients with chronic kidney disease to protect renal function.,Correct.
"A 45-year-old woman is evaluated for a 3-week history of progressive shortness of breath that limit her activities. Medical history is significant for asthma and moderate mitral regurgitation. Her only medication is an albuterol inhaler as needed. On physical examination, her vital signs are normal. Cardiac examination reveals a grade 3/6 holosystolic murmur radiating to the axilla. Lungs are clear to auscultation. which of the following 1s the most appropriate diagnostic test?",Spirometry,Transthoracic echocardiogram,Transesophageal echocardiogram,Helical (or spiral) computed tomography (CT) of the chest,C,Internal medicine,Cardiology,Not,"Spirometry evaluates lungs, not the heart.","TTE is the standard, but TEE is more sensitive for specific posterior structures.",Transesophageal echocardiogram (TEE) provides superior visualization of the left atrium and its appendage. It is the gold standard test to rule out an atrial thrombus prior to cardioverting a patient with Atrial Fibrillation.,CT chest is not for atrial thrombi.,A Transesophageal Echocardiogram (TEE) is mandatory to rule out a left atrial appendage thrombus before performing cardioversion in a patient with atrial fibrillation >48 hours.,TEE is the best imaging modality to rule out a left atrial thrombus in atrial fibrillation.,Correct.
"A 54-year-old man presents with shortness of breath and fever for 1 week. On physical examination, the patient is febrile and dyspneic. His oxygen's saturation is 89% on room air. Chest examination shows absent breath sounds and dullness to percussion over right lung field. Chest radiography confirms a large right-sided pleural effusion. which of the following is the most useful to establish a diagnosis of exudative pleural effusion?",Pleural fluid protein/ serum protein < 0.5,Pleural fluid pLDH/ serum DDH > 0.6,Pleural fluid IDH >1/3 normal upper limit for serum,Pleural fluid white cell count > 1000,B,Internal medicine,Pulmonology,Not,Transudates have a Pleural/Serum protein ratio < 0.5.,"According to Light's Criteria, a pleural effusion is an EXUDATE if the Pleural fluid LDH to Serum LDH ratio is > 0.6. This indicates high protein/enzyme leakage due to inflammation or malignancy.","The LDH absolute cutoff is > 2/3 the upper limit of normal for serum, not 1/3.",WBC count does not define an exudate via Light's criteria.,"Light's Criteria for an Exudate (requires ≥1): Pleural/Serum Protein > 0.5, Pleural/Serum LDH > 0.6, or Pleural LDH > 2/3 the upper limit of normal serum LDH.",An exudative pleural effusion has a pleural to serum LDH ratio greater than 0.6.,Correct.
"A 67-year-old man presents with insomnia, irritability and palpitation for 3 months. He is known to have hypertension, depression and atrial fibrillation. He is on amlodarone, fluoxetine and enalopril. Clinically, he is unremarkable Blood pressure 130/70 mmHg Heart rate 76 /min Oxygen saturation 95 which of the following is the most appropriate next step?",Add propranolol,Measure thyroxin level and TSH,Substitution of antidepressant drug,Refer him for psychiatric assessment,B,Internal medicine,Endocrinology,Not,Propranolol masks symptoms but doesn't find the cause.,"New-onset anxiety, weight loss, or tachycardia in an older patient can be the presenting sign of hyperthyroidism. A TSH and Free T4 level should be measured to rule out a medical/organic cause before diagnosing a primary psychiatric disorder.",Changing antidepressants is premature.,Psychiatric referral is done after ruling out medical causes.,Always rule out medical causes of psychiatric symptoms (like hyperthyroidism causing anxiety) by ordering a TSH before initiating psychiatric medications.,Check a TSH to rule out hyperthyroidism in any patient with unexplained new-onset anxiety or weight loss.,Correct.
"A 62-year-old man presents to Outpatient Clinic with recurrent episodes of sternal chest tightness, which occurs mainly after heavy physical exertion. He has no chronic medical problems. Clinical examination and baseline ECG were normal which of the following is the most appropriate next step in diagnosis?",Exercise ECG,Echocardiography,Coronary arteriography,Myocardial perfusion scintigraphy,A,Internal medicine,Cardiology,Not,"Exercise ECG (Treadmill stress test) is the most appropriate, cost-effective initial diagnostic test for evaluating suspected stable angina in a patient with a normal resting ECG and normal baseline mobility.","Echocardiography is structural, not a stress test.",Coronary angiography is invasive and reserved for high-risk findings on a stress test or refractory symptoms.,Myocardial perfusion scan is used if the baseline ECG is abnormal.,"For patients with an intermediate pre-test probability of coronary artery disease and a normal resting ECG, the standard Exercise Tolerance Test (ECG stress test) is the best initial investigation.",An exercise ECG stress test is the initial investigation of choice for suspected stable angina.,Correct.
"A 28-year-old man presents with recent onset of chest pain. The pain is retrosternal, localized, sharp and constant in intensity. He noticed increase in severity with movement. He started active exercise program a week prior to the onset of the symptom. Blood pressure 110/70 mmHg Heart rate 76 /min Oxygen saturation 95 % which of the following is the most appropriate next step in management?",Atenolol.,Ibuprofen,Nitroglycerine,Reassurance and assess after I week,B,Internal medicine,Cardiology,Not,"Atenolol is a beta-blocker, often used but Ibuprofen is specifically for pericarditis.","The patient likely has acute viral pericarditis (pleuritic chest pain, young male). The first-line therapy is high-dose NSAIDs like Ibuprofen, which reduce the pericardial inflammation and pain.",Nitroglycerin is for ischemic pain.,Reassurance is inadequate for active pericarditis pain.,"Acute pericarditis (sharp, pleuritic chest pain that improves with leaning forward) is treated first-line with NSAIDs (Ibuprofen) and Colchicine.",High-dose NSAIDs like Ibuprofen are the first-line treatment for acute pericarditis.,Correct.
"A 65-year-old woman came for routine annual check-up found to have with harsh ejection systolic murmur, which propagated to the neck. which of the following factors ig the most important in deciding the time of the surgery?",Low pulse pressure,Intensity of the murmur,The patients symptoms,Left ventricular hypertrophy,C,Internal medicine,Cardiology,Not,"Pulse pressure is wide in aortic regurgitation, not the best marker of AS severity.",Murmur intensity does not correlate reliably with severity (it may soften as the heart fails).,"The onset of symptoms (angina, syncope, heart failure) is the most critical prognostic indicator in Aortic Stenosis. Once symptoms appear, mortality is high without valve replacement.",LVH is a sign but symptoms dictate intervention.,"The presence of symptoms (Angina, Syncope, Heart Failure) drastically alters the prognosis of Aortic Stenosis, dictating the need for urgent Aortic Valve Replacement (AVR).","Symptom onset (syncope, angina, dyspnea) is the most critical prognostic factor in aortic stenosis.",Correct.
"A 65-year-old man found to have an ejection systolic murmur on clinical examination. There is no history of chest pain, shortness of breath nor syncope. ECHO confirmed aortic stenosis with good left ventricular systolic function. Aortic valve gradient of 40 mmHg. Blood pressure 100/65 mmHg Heart rate 67 /min Which of the following is the most appropriate management option?",Follow-up,Anti-coagulation,Aortic valvoplasty,Surgical valve replacement,A,Internal medicine,Cardiology,Not,"Follow-up is inadequate for a severe, symptomatic valve lesion.","Anticoagulation treats AFib, but not the mechanical valve obstruction.","Aortic valvoplasty is a temporary bridge, mostly for children or non-surgical candidates.","A symptomatic patient (e.g., syncope, heart failure) with severe Aortic Stenosis requires a definitive Surgical (or Transcatheter) Aortic Valve Replacement to prevent mortality.",Symptomatic severe aortic stenosis has a dismal prognosis with medical management alone; it definitively requires an Aortic Valve Replacement.,Symptomatic severe aortic stenosis mandates prompt aortic valve replacement.,Correct.
A 67-year-old man known to have hypertension came to Emergency Room with acute onset of palpitation. His pulse on the monitor showing pulse rate of 170/min. He have irregular pulse with normal cardiac and chest examinations. Blood pressure 120/70 mmHg Respiratory rate 18 /min Oxygen saturation 91 which of the following is the best treatment option?,Cardioversion,adenosine,Amidorone,observation,C,Internal medicine,Cardiology,Not,Cardioversion is not used for stable WPW unless they are in unstable AFib/SVT.,"Adenosine blocks the AV node, forcing all conduction down the accessory pathway in WPW, which can precipitate fatal Ventricular Fibrillation. It is absolutely contraindicated.",Amiodarone (or Procainamide) is safe and effective for rhythm control in Wolff-Parkinson-White (WPW) syndrome because it slows conduction through the accessory pathway.,Observation is inappropriate for an active arrhythmia.,"In Wolff-Parkinson-White (WPW) syndrome, AV-nodal blocking agents (Adenosine, Beta-blockers, Calcium channel blockers, Digoxin - 'ABCD') are contraindicated because they can accelerate conduction down the accessory pathway, leading to V-Fib. Use Procainamide or Amiodarone.",Amiodarone or Procainamide are the drugs of choice for arrhythmias in WPW syndrome.,Correct.
A 38-year-old Indian man presents with progressive dyspnea for 3 months. He has past history of old tuberculosis. He has no other medical problems and not on any medications. His JVP was elevated and rises further on inspiration. Cardiac examination was normal with no murmurs Blood pressure 105/60 mmig Heart rate 120 /min Oxygen saturation 93 Which of the following is the most likely diagnosis?,Myocarditis,Corpulmonale,Cardiomyopathy,Constrictive Pericarditis,D,Internal medicine,Cardiology,Highlighted,Myocarditis presents with acute heart failure and viral symptoms.,Cor pulmonale is right heart failure from lung disease.,Cardiomyopathy is a primary muscle disease.,"A patient (often from an endemic TB area like India) presenting with signs of right heart failure (elevated JVP, ascites, edema) and a pericardial knock has Constrictive Pericarditis, most commonly due to Tuberculosis in the developing world.","Tuberculosis is the most common cause of constrictive pericarditis in the developing world. It presents with right heart failure signs and a thickened, calcified pericardium.",Constrictive pericarditis presents as right heart failure and is heavily linked to Tuberculosis in endemic regions.,Correct.
A 28-year-old woman who is a known case of mitral stenosis came to the clinic asking about how critical is her condition. Echo was done and mitral valve orifice was recorded. Which of the following mitral valve orifice measurement is coneider critical?,<1 cm,<2 cm,< 3 cm,< 4 cm,A,Internal medicine,Rheumatology,Not,"The PPD (Mantoux) test is considered positive at < 1 cm (specifically ≥ 5 mm) in high-risk patients, such as those with HIV, close contacts of active TB, or those on immunosuppressants (like a patient with Lupus).",10 mm is for intermediate risk (healthcare workers).,15 mm is for low risk.,4 cm is not a standard cutoff.,"A PPD induration of ≥ 5 mm is considered POSITIVE in HIV+ patients, recent TB contacts, and severely immunosuppressed patients.","A PPD test is positive at ≥ 5 mm in immunocompromised patients, such as those with HIV or on immunosuppressants.",Correct.
"A 72-year-old man presented with acute sever chest pain with an ECG revealing St segment elevation II, II, AVF, leads was treated with thrombolysis but 2 days later acutely unwell with sever dyspnea. On examination, he has loud systolic murmur at the apex, which radiates to the axilla and bilateral crackles at the base of the lungs. Blood pressure 90/60 mmig Heart rate 100 /min Respiratory rate 25 /min Oxygen saturation 88 Which of the following is the most likely diagnosis?",Myocarditis,Cardiogenic shock,Rupture papillary muscle,Acute Rt sided heart failure,C,Internal medicine,Cardiology,Highlighted,"Myocarditis causes global failure, not an acute mechanical murmur.","Cardiogenic shock is the result, but Papillary muscle rupture is the mechanical cause.","An acute inferior MI can cause necrosis of the posteromedial papillary muscle (which has a single blood supply). Rupture occurs 3-5 days post-MI, causing acute, severe mitral regurgitation (new systolic murmur) and sudden pulmonary edema/shock.","Right sided heart failure causes clear lungs, not pulmonary edema.","Papillary muscle rupture presents 3-5 days after an inferior MI with sudden pulmonary edema, shock, and a new harsh holosystolic murmur of mitral regurgitation.",A new systolic murmur and acute pulmonary edema following an inferior MI indicates a ruptured papillary muscle.,Correct.
A 65-year-old man with heart failure requires rate control to treat coexisting atrial fibrillation. which of the following is the best treatment option?,Digoxin,Adenosine,Lidocaine,Nitroglycerine,A,Internal medicine,Cardiology,Highlighted,"Digoxin improves symptoms in chronic heart failure. It inhibits the Na+/K+ ATPase, increasing intracellular calcium, thereby acting as a positive inotrope (increasing contractility) and negative chronotrope (slowing heart rate).",Adenosine is an antiarrhythmic for SVT.,Lidocaine is for ventricular arrhythmias.,Nitroglycerine is a vasodilator.,Digoxin provides symptom relief in heart failure and rate control in Atrial Fibrillation. It does NOT reduce mortality in heart failure.,Digoxin is used for symptom control in heart failure by increasing cardiac contractility.,Correct.
Asymptomatic healthy 24-year-old woman came for a check-up visit and found to have grade II mid- diastolic murmur over the a sea. Which of the following is the best next step in diagnosis?,Cardiac MRI,Echocardiography,Cardiac catheterization,Antistreptolysin 0 titre,B,Internal medicine,Cardiology,Not,Cardiac MRI is too advanced for an asymptomatic murmur.,"An asymptomatic young patient with a murmur should be evaluated with a Transthoracic Echocardiography to determine if the murmur is physiological or structural (e.g., bicuspid aortic valve, MVP).",Cardiac catheterization is invasive and reserved for severe disease.,"ASO titer checks for rheumatic fever, but echo defines the anatomy.","Echocardiography is the non-invasive gold standard for initially evaluating any new, loud, or symptomatic heart murmur.",Echocardiography is the best initial investigation for evaluating a heart murmur.,Correct.
"70-year-old man presented with progressive dyspnea, palpitation and fatigue for 3 months. He is known to have hypertension on captopril. He underwent echo which showed poor left ventricular function 30 furosemide was added with good control of his symptoms. His vital signs upon the last clinic visit shown below. Blood pressure 150/90 mmHg Heart rate 90 /min Respiratory rate 18 /min Oxygen saturation 95 which of the following medication should be added at this stage?",Digoxin,Carvedilol,Nifedipine,Hydralazine,B,Internal medicine,Cardiology,Highlighted,Digoxin doesn't lower BP significantly.,"Carvedilol (a beta-blocker) lowers BP and mortality in heart failure, and is a standard of care. (Note: ACEi/ARBs are also standard).",Nifedipine can worsen heart failure.,Hydralazine is used mostly in African American patients or those intolerant to ACE inhibitors.,"Beta-blockers (Bisoprolol, Carvedilol, Metoprolol succinate) and ACE inhibitors are the foundation of medical therapy for heart failure with reduced ejection fraction, both reducing mortality.",Carvedilol is a beta-blocker proven to reduce mortality in heart failure.,Correct.
"A 70-year-old man admitted with left lower limb swelling and pain diagnosed as DVI where heparin was started. He has history of diabetes mellitus, hypertension and chronic heart failure. He is on insulin furosemide and enalapril (see lab results). Blood pressure 110/70 mmig Heart rate 76 /min Oxygen saturation 94 % Test Result Normal Values Sodium 135 134-146 mol/I Potassium 6,0 3.5-5.1 mmol/I chloride 107 97-108 mmol/L Urea 7.9 2.75-7.4 mmol/I Creatinine 120 44-115 umol/L APTT 50 30-40 вес Prothrombin time 14 10-13 sec Which of the following medications should be discontinued at this stage?",Insulin,Enalapril,heparin,Furosemide,B,Internal medicine,Cardiology,Highlighted,Insulin is for diabetes.,"Enalapril (ACE inhibitor) is standard for post-MI management to prevent remodeling, but Furosemide is the immediate acute therapy for the fluid overload.",Heparin is for DVT/ACS.,A patient with heart failure presenting with acute pulmonary edema (fluid overload) needs immediate preload reduction. Intravenous Furosemide (a loop diuretic) is the most rapid and effective treatment.,"Acute pulmonary edema in heart failure is managed with 'LMNOP': Lasix (Furosemide), Morphine, Nitrates, Oxygen, and Position (sit up).",Intravenous furosemide is the immediate treatment of choice for acute pulmonary edema.,Correct.
"A 35-year-old man presented to Emergency Room with recurrent attacks of high-grade fever with chills for 1 week. He was on a work trip to Sudan 3 weeks ago. Each attack begins with chills for few hours followed by fever up to 40.5 degree, which resolves with profuse sweating. The attacks comes every other day. On examination, mild splenomegaly was detected. Blood smear at Emergency Room was negative for parasites Blood pressure 110/70 mmHg Heart rate 120 /min Temperature 39 °c Which of the following is the most appropriate next step in diagnosis?",Repeat thin blood smear,Repeat thick blood smear once more,Repeat blood smear during the attack,Repeat blood smear every 8 hours for 2 days,D,Internal medicine,Infectious Disease,Not,"A thin smear evaluates species, but thick smear is best for detection. However, repeating is the key.",Repeating a thick smear once might miss the parasitemia cycle.,"Repeating during an attack (fever spike) is ideal as red blood cells are lysing and releasing parasites into the blood, maximizing the diagnostic yield for Malaria.","Scheduled repeats are done, but capturing the attack is highest yield.",Malaria is diagnosed via thick and thin Giemsa-stained blood smears. The highest yield for finding the parasites is obtaining the blood sample during a febrile spike.,"To maximize the diagnostic yield for Malaria, blood smears should be taken during a febrile episode.",Correct.
"A 51-year-old woman presented to the hospital with 2-days history of malaise and headache. The headache became more intense and was associated with pain in her neck. Her husband reported that she had also fever. She was previously well with no significant medical history. On examination, she looked unwell confused, febrile and with positive Kernig's sign. CT scan brain was normal. Lumbar puncture done (see lab results) Test Result Normal Values Colour Turbid colourless Cells 200 0-3 /ul Total protein (Women) 0.9 0.15-0.45 g/I glucose 1.6 2.50-3.89 mmol/L Which of the following is the most likely causative organism?",Escherichia coli,Listeria monocytogenes,Streptococcus pneumonia,Staphylococcus pyogenes,C,Internal medicine,Infectious Disease,Highlighted,E. coli causes UTIs and neonatal meningitis.,Listeria causes meningitis in neonates and the elderly/immunocompromised.,"Streptococcus pneumoniae is the most common cause of community-acquired bacterial meningitis in adults. It presents with sudden high fever, nuchal rigidity, and altered mental status.",Staphylococcus pyogenes rarely causes meningitis.,Streptococcus pneumoniae and Neisseria meningitidis are the two most common causes of bacterial meningitis in healthy adults.,Streptococcus pneumoniae is the leading cause of adult bacterial meningitis.,Correct.
A 45-year-old man has been diagnosed as a case of pulmonary tuberculosis. Which of the following investigations is essential prior initiation of the therapy?,Vitamin B6,PPD skin test,Plasma glucose,Liver function test,D,Internal medicine,Infectious Disease,Not,"Vitamin B6 is supplemented, but Liver Function Tests (LFTs) must be checked before starting therapy.","PPD diagnoses exposure, but he is already diagnosed.",Plasma glucose is not related to TB drugs.,"Isoniazid, Rifampin, and Pyrazinamide (first-line TB drugs) are all notoriously hepatotoxic. Baseline Liver Function Tests (LFTs) must be obtained before initiating therapy to monitor for drug-induced hepatitis.","The standard TB regimen (RIPE: Rifampin, Isoniazid, Pyrazinamide, Ethambutol) is highly hepatotoxic. Baseline and routine monitoring of Liver Function Tests (AST/ALT) is mandatory.",Baseline liver function tests are required before initiating anti-tuberculosis therapy due to hepatotoxicity.,Correct.
"A 39-year-old man came to the clinic for follow-up. He is recently diagnosed as pulmonary tuberculosis and was started on rifampicin, Isoniazid, pyrazinamide and ethambutol for 4 weeks. Basic lab workup were normal. IFT test was repeated (see lab results). Test Result Normal Values Direct bilirubin 56 1.5-6.5 mol/I Total bilirubin 76 3.5-16.5 umol/I Aspartate aminotransferase 465 12-40 IU/L Alanine aminotransferase 620 5-40 IU/L Alkaline phosphatase 720 39-117 IU/I Gamma glutamyltransferase 387 6 to 37 IU/I Which of the following is the most appropriate next step?",Stop Isoniazid,Stop rifampicin,Stop pyrazinamide,Stop all medications,D,Internal medicine,Infectious Disease,Highlighted,Isoniazid causes hepatitis.,Rifampicin causes red-orange fluids and hepatitis.,Pyrazinamide is also hepatotoxic.,"If a patient on RIPE therapy develops clinical hepatitis (jaundice, severe nausea, ALT >3-5x normal), ALL hepatotoxic anti-TB medications (Isoniazid, Rifampin, Pyrazinamide) must be stopped immediately until liver enzymes normalize.","Drug-induced hepatitis is a severe complication of TB therapy. If transaminases rise > 5x the upper limit of normal, or > 3x with symptoms, all offending drugs must be stopped immediately.",Severe hepatotoxicity requires the immediate cessation of all hepatotoxic anti-TB medications.,Correct.
An 82-year-old woman admitted to the hospital for meningitis. Her CSF was obtained and Gram stain showed Gram negative cocco-bacilli. Which chemo-prophylaxis should be offered to her contacts?,Rifampicin,Certriaxone,Ciprofloxacin,Azithromycin,A,Internal medicine,Infectious Disease,Highlighted,Rifampicin is for TB/meningitis prophylaxis.,"Ceftriaxone covers Strep pneumo, but Ampicillin covers Listeria.",Ciprofloxacin covers gram-negatives.,"Azithromycin is for atypical pneumonia. (Note: Assuming the question relates to meningitis in an 82-year-old, empiric therapy is Ceftriaxone + Vancomycin + Ampicillin to cover Listeria. If the answer is Azithromycin, the prompt likely described a CAP. Lacking the full prompt, Azithromycin is the standard for atypical CAP).","Macrolides (Azithromycin) are first-line for atypical pneumonias (Mycoplasma, Legionella, Chlamydia).",Azithromycin is the treatment of choice for atypical community-acquired pneumonia.,Correct.
A 23-year-old pregnant woman presented with frequency and dysuria for 5 days (see lab result). Blood pressure 110/70 mmHg Heart rate 76 /min Temperature 37.6 °C Test Result Normal Values Leukocytes 30 0-3 per high power field Which of the following is the best treatment option?,Flucloxacillin,Augmentin,Ciprofloxacin,Nitrofurantion,B,Internal medicine,Infectious Disease,Highlighted,Flucloxacillin is for skin infections.,Augmentin is for respiratory/ENT infections.,Ciprofloxacin is contraindicated in pregnancy.,Nitrofurantoin (or Cephalexin/Amoxicillin) is the safest and most appropriate first-line treatment for an uncomplicated urinary tract infection (cystitis) in a pregnant woman. Avoid fluoroquinolones and Bactrim.,"Asymptomatic bacteriuria and cystitis must be treated in pregnancy to prevent pyelonephritis and premature labor. Nitrofurantoin, Amoxicillin, and Cephalexin are safe options.",Nitrofurantoin is a safe and effective first-line antibiotic for UTIs during pregnancy.,Correct.
"A 35-year-old man presented with fever, rigors and weight loss for 10 days. He underwent Mitral valve replacement by prosthetic valve a month ago. Echo showed small vegetation. Blood pressure 90/70 mmHg Heart rate 100 /min Temperature 38.7 °c which of the following organisms is the most likely to be responsible for his presentation?",Coxiella burnetii,Staphylococcus aureus,Streptococcus viridans,Staphylococcus epidermidi:,D,Internal medicine,Infectious Disease,Highlighted,Coxiella burnetii causes Q fever.,Staphylococcus aureus causes acute endocarditis.,"Streptococcus viridans is normal oral flora. It is the most common cause of subacute bacterial endocarditis, characteristically affecting previously damaged heart valves (e.g., from rheumatic fever or MVP) following dental procedures.",Staphylococcus epidermidis infects prosthetic valves.,"Streptococcus viridans causes subacute endocarditis on native, previously damaged valves, especially following dental procedures.",Streptococcus viridans is the most common cause of subacute infective endocarditis following dental work.,Correct.
A 24-year-old woman came to the clinic complaining of yellowish offensive vaginal discharge and itching for 2 weeks duration. She has no other significant medical history. Vaginal swab done which showed motile flagellate organisms on wet film microscopy. which of the following is the best treatment option?,Tetracycline,Cefuroxine,Nitrofurantoin,Metronidazole,D,Internal medicine,Infectious Disease,Highlighted,Tetracycline is contraindicated in pregnancy/children.,Cefuroxime is for respiratory infections.,Nitrofurantoin is for UTIs.,"Metronidazole is the gold standard, first-line antibiotic for treating anaerobic infections and specific protozoa, including Trichomonas vaginalis (which presents with frothy, yellow-green vaginal discharge) and Bacterial Vaginosis.","Trichomoniasis (frothy green discharge, strawberry cervix) and Bacterial Vaginosis (thin grey discharge, fishy odor) are both treated with oral Metronidazole. Treat the partner for Trichomonas.",Metronidazole is the treatment of choice for Trichomoniasis and Bacterial Vaginosis.,Correct.
A 24-year-old married woman came to the clinic complaining of yellowish offensive vaginal discharge and itching for 2 weeks duration. She has no other significant medical history. Vaginal swab done which showed motile flagellate organisms on wet film microscopy. Appropriate treatment was initiated. which of the following is the best management option for her husband?,Tetracyclin,Metronidazole,No treatment,Follow-up in 2 weeks,B,Internal medicine,Infectious Disease,Highlighted,Tetracycline treats Chlamydia.,"The patient has Trichomoniasis (a sexually transmitted infection). Unlike Bacterial Vaginosis, Trichomoniasis requires that BOTH the patient AND their sexual partner(s) be treated simultaneously with Metronidazole to prevent re-infection.",No treatment allows the STI to spread.,Follow up doesn't cure the STI.,Trichomonas vaginalis is a highly contagious STI. Successful eradication requires simultaneous treatment of the patient and all sexual partners with Metronidazole.,Both the patient and their sexual partner must be treated with Metronidazole for Trichomoniasis.,Correct.
"A 25-year-old man developed fever, malaise and rash on the palms of his hands as well as on the soles of both feet. weeks earlier, he had a painless ulcer on his penis. He gave a history of recent travel and extramarital unprotected sex. On examination, he has generalized lymphadenopathy. Blood pressure 110/70 mmig Heart rate 87 /min Temperature 38.6 °C Which of the following is the most likely diagnosis?",HIV,Syphilis,Herpes zoster,Chlamydia trachomatis,B,Internal medicine,Infectious Disease,Not,HIV causes immunosuppression but typically not an acute genital ulcer.,"Syphilis (Treponema pallidum) presents with a classic primary Chancre: a painless, indurated genital ulcer with a clean base, accompanied by painless lymphadenopathy.",Herpes zoster causes shingles.,"Chlamydia trachomatis (LGV) causes painless ulcers but syphilis is the classic 'clean base, indurated' ulcer.","The chancre of primary syphilis is painless, hard (indurated), and has a clean base. It resolves spontaneously, but the disease progresses to secondary syphilis if untreated. Treatment is Penicillin G.","A painless, indurated genital ulcer with a clean base is the chancre of primary syphilis.",Correct.
"A 45-year-old woman was diagnosed with GERD for 4 years on daily dose of PPI with a good control of her symptoms. However, she reported occasionally heartburn. She underwent endoscopy, which was normal. Gastric biopsy revealed Helicobacter pylori. She gave history of smoking 20 pack-year but she quit 3 years ago, but she gave history of social alcohol drink. On examination, she is obese otherwise normal. Which of the following risk factors is mostly contribute to worsening of her GERD and she should control it?",Obesity,Smoking,Alcohol intake,Helicobacter pylori,A,Internal medicine,Gastroenterology,Not,"Obesity causes GERD, not peptic ulcers directly.",Smoking delays ulcer healing but is not the primary bacterial cause.,Alcohol irritates the stomach but isn't the primary etiology.,"Helicobacter pylori is the most common cause of Peptic Ulcer Disease (both gastric and duodenal ulcers) worldwide. It colonizes the gastric mucosa, producing urease and causing chronic inflammation that degrades the mucosal barrier.","H. pylori infection and NSAID use are the two leading causes of Peptic Ulcer Disease. Eradication of H. pylori (Triple therapy: PPI, Clarithromycin, Amoxicillin) cures the ulcers and prevents recurrence.",Helicobacter pylori is the most common etiology of peptic ulcer disease.,Correct.
